Team-year,AdjO,AdjD,AdjT,Win50,OppEM,OppO,OppD,OppEM
Gettysburg2022,90.3,90.6,72.5,-2.1,2.8,99.5,96.8,2.5
Sewanee2022,102.8,103.1,78.3,-10.7,-6.1,97.8,103.9,-5.8
Bates2022,89.7,90,76.8,5.9,4.9,100.5,95.6,4.9
Dean2022,101.7,102.1,76.9,-17.8,-12.3,87.9,100.2,-10.5
Skidmore2022,101.3,101.8,74.5,-2.7,0.9,99,98.1,-3.4
Capital2022,101.5,102.1,71.8,5.6,6.2,103,96.8,6.7
Wm. Paterson2022,96.6,97.2,79.1,-1.8,-1.8,95.6,97.4,-12.4
Penn St.-Behrend2022,94.1,94.7,65.6,3.5,0,99,99,0
Whittier2022,101.6,102.4,72.9,10.3,0.9,98.7,97.8,-3.8
Lawrence2022,95.4,96.2,70.5,2.5,0.5,98.7,98.2,5
George Fox2022,103.9,104.9,74.9,5.8,5.7,103.4,97.7,10.6
UW-River Falls2022,98.6,99.7,68.7,9.4,4.4,102.5,98,-0.3
Oglethorpe2022,99.6,100.7,75.1,-7.1,-6.2,98.7,104.9,-9.9
Puget Sound2022,100.6,101.6,72.7,7.1,10.5,106,95.5,12.4
Eastern Nazarene2022,95.3,96.5,73.1,-2.7,-4.4,98.2,102.6,-4.4
Edgewood2022,98.1,99.5,74,6.3,9.6,103.1,93.5,11.5
Pacific (OR)2022,99.8,101.2,71.6,5.8,6.5,106,99.6,18.5
Marymount (VA)2022,99.5,101.1,71.9,9.6,7.9,100.7,92.8,7.9
Lehman2022,99.4,101,70,-13.9,-13.5,86,99.5,-11.2
Bridgewater (VA)2022,92.9,94.5,71.9,6,9,103.4,94.3,3.3
Transylvania2022,103.4,105,74,3.6,6.1,101,94.9,7.7
McMurry2022,104.9,106.6,77,3.8,3.4,99.1,95.7,-0.1
Gwynedd Mercy2022,96.7,98.5,70.3,-0.5,0.8,97.4,96.6,0.8
Olivet2022,98.7,100.5,76.3,-0.6,0.3,102.4,102.1,0.3
Kenyon2022,95.8,97.6,71.5,-7.5,-6.5,94.1,100.6,-8.8
Lynchburg2022,97.9,99.8,80.1,5.8,8.3,101.7,93.5,12.5
East. Mennonite2022,96.9,98.8,71.4,1.2,3,98.2,95.2,-1.6
SUNY Potsdam2022,97.1,99.1,75.1,-2.7,2.2,98.6,96.4,-0.5
Randolph2022,102.9,104.9,75.5,1.3,6.9,101.9,95,-0.5
Manchester2022,99.8,101.9,75,-6.4,-0.5,99.5,100,4.3
Hamline2022,96.7,98.8,70.2,-6.9,-7.7,95.9,103.5,-13.1
Gust. Adolphus2022,99.4,101.8,70.6,1.3,2.1,101.4,99.4,-1.8
St. Marys (MD)2022,98.2,100.7,68.9,-5.2,-6.8,92.3,99.1,-6.5
Wilmington (OH)2022,98,100.5,76.9,0,-2.7,98.4,101.1,-3.6
Chatham2022,95.8,98.3,76.7,2,-1.3,98.3,99.6,5.1
Crown (MN)2022,99.9,102.5,76.4,-4.9,-6.7,95.2,101.9,-6.7
Mt. St. Joseph2022,100.9,103.6,65.4,-1.5,-3.8,99.3,103.1,-1.1
JWU (Providence)2022,98.2,100.9,71.7,0.2,2.7,98.2,95.5,4
Pitt.-Greensburg2022,100.1,102.9,71.1,5,2.4,104.3,101.9,2.4
SUNY Poly2022,94.6,97.5,72,-1.2,-2.8,97.1,100,-1.8
Occidental2022,97.5,100.5,68,7.1,10.7,105.4,94.7,
Clarkson2022,97.1,100.1,76.5,-2.8,-1.2,98.2,99.4,-0.4
North Central (MN)2022,99.8,103,73.5,-2.3,-11.7,91.3,103,-11.7
RIT2022,104.4,107.6,71.4,-1.7,0,98,98,-1.6
Ferrum2022,93.4,96.7,75.2,-4.6,-4.6,97.7,102.3,-8
Marian (WI)2022,99.4,103.1,70.7,10.4,9.2,106.1,96.9,14.5
Plattsburgh St.2022,97.2,101,76.9,-1.2,0.7,98.6,97.9,-3.8
Principia2022,97.6,101.6,74.5,-10.4,-11.1,94.4,105.5,-12
Saint Vincent2022,98.3,102.5,69.9,-4.1,-4,94.2,98.2,-2.6
Rutgers-Newark2022,93.1,97.3,70.1,3.1,4.6,99.9,95.4,3
Anderson (IN)2022,102.6,106.9,69,0.6,1.6,102.3,100.6,2.3
Norwich2022,94.9,99.1,72.7,-10.4,-13.1,91.4,104.5,-13.1
McDaniel2022,94.6,98.9,64.4,-4.8,-1,95.5,96.5,-4.9
Wentworth2022,98,102.3,70.1,0.7,-6.4,91.8,98.3,-2.6
Colby-Sawyer2022,99.6,104,75,4.8,2.8,99.6,96.8,2.8
Anna Maria2022,95.5,100,77.9,12.3,12.3,103.4,91.1,9.6
SUNY Geneseo2022,88.7,93.2,73.7,-1.5,0.4,98.3,97.8,4.8
Blackburn2022,97.9,102.6,78.7,3,1,101.3,100.3,1
Arcadia2022,97.1,101.8,70.9,-6,-7.5,92.1,99.6,-5
Wilson2022,95.3,100.1,68.6,-4.3,-4.9,93.7,98.7,-4.9
Caltech2022,93.7,98.5,70,5.8,5.9,99.8,93.9,8.2
SUNY Morrisville2022,100.3,105.2,74.7,0.4,0.1,100.3,100.2,-0.4
Lewis & Clark2022,100.1,105,72,-1.4,3.1,102.1,99,29.8
Elizabethtown2022,94.6,99.6,76.7,-6.3,-7.6,95.6,103.2,-8.9
Union (NY)2022,100,105.3,75.2,-1,-1.2,100.8,102,-1.8
Bob Jones2022,100.9,106.2,78.2,-8.9,-6.8,96.9,103.6,-10.7
Centenary (NJ)2022,97.1,102.7,78.8,-13.1,-4.7,92.7,97.4,-4.7
Dallas2022,93.1,98.9,71.4,-6.3,-1.4,94.9,96.2,-1.2
MSOE2022,94,99.9,70.6,3.9,-1.7,98,99.8,-3.2
Eureka2022,94.7,100.6,77.7,1.4,1.2,100,98.9,1.2
Fontbonne2022,95.7,101.7,72.8,6.1,6.4,102.8,96.4,6.4
Medaille2022,93.6,99.8,72.7,-9.5,-9.3,93.8,103.1,-9.2
Lycoming2022,94.5,100.7,72.9,-2.3,-1.5,96.2,97.7,-3.5
SUNY Maritime2022,92.8,98.9,68.3,-11.6,-7,93,100,-6.4
Marywood2022,101.1,107.2,71.3,-1.8,0.3,99.9,99.7,0.3
Grinnell2022,99.8,106,91.5,-1.8,-1.8,98.6,100.4,3
Howard Payne2022,89.9,96.1,79.6,-5.8,-1,96.3,97.3,-6.2
Lebanon Valley2022,95.6,101.8,74.6,3.6,3.8,100.4,96.5,3.9
Belhaven2022,91.5,97.8,78,-5.8,-3.6,95.2,98.8,-3.6
Bethel (MN)2022,101.7,108,73.3,0.1,1.9,102.4,100.5,9.5
Kalamazoo2022,101.3,107.6,72.1,-0.4,-0.7,100.4,101.1,-0.7
Keystone2022,102.1,108.6,73.6,7.4,4.6,101,96.4,4.6
Cairn2022,96.7,103.2,71.3,-16.9,-7.7,93.7,101.4,-7.7
MUW2022,93.8,100.3,71.6,0.1,-6,98.6,104.7,1.7
Hilbert2022,102.9,109.4,75.2,-8.2,-7,95,102,-6.4
Shenandoah2022,91.9,98.4,74.3,6.8,7.1,98.3,91.1,2.5
Gordon2022,107.7,114.3,75.8,2.6,1.1,97.9,96.8,4
Alma2022,96.6,103.3,76.9,0.5,-1,99.7,100.7,-1
Adrian2022,94.4,101,75,-3.2,-1.4,103,104.4,-1.4
Southern Va.2022,97.2,103.9,70.7,0.3,1,97.1,96.1,1
Southwestern (TX)2022,91.6,98.5,70.3,0,0.3,100.3,100,3.2
Delaware Valley2022,92.2,99.2,75.2,-7.5,-7.1,91.5,98.6,-8.6
Dickinson2022,87.9,95.3,71.9,6.1,7.6,103.6,96,6.3
Immaculata2022,90.3,97.8,73.5,-4.7,-5.1,97.7,102.8,-5.1
Methodist2022,96.3,103.7,72.6,12.7,13.3,102.3,89,13.3
Earlham2022,90.2,97.7,73.8,3.9,4.7,103.1,98.4,6
Westfield St.2022,95.9,103.4,76.4,14.5,10,103,93,10
Luther2022,91.4,98.9,68.2,-2.1,0.1,99.3,99.2,-4.2
Augsburg2022,92.4,100.1,71.2,2.1,1.3,101.3,100,-3.7
Coast Guard2022,89.9,97.6,78.4,-1.5,-2.6,98.1,100.7,-2.6
St. Scholastica2022,92.6,100.4,72.6,-1,-2,100.8,102.8,-5.9
Lake Forest2022,102.2,110.4,71.9,0.5,0.8,100.4,99.6,4.2
Lakeland2022,101.9,110.1,75.6,-14.4,-15.1,93.4,108.5,-20.5
Rosemont2022,94.1,102.4,77.4,15.5,9.2,103.1,93.9,9.2
St. Josephs (L.I.)2022,93.2,101.7,68.8,-9.2,-9.7,90.8,100.5,-9.7
Merchant Marine2022,97.3,105.7,70.5,-4.2,1.6,98.9,97.3,1.6
Mt. St. Mary (NY)2022,87.3,95.8,72.4,-9.2,-6,95.3,101.3,-7.3
Centre2022,89.4,98,71.5,-8.9,-5.7,98,103.7,-6.6
Thiel2022,93.1,101.8,75,-0.6,-3.6,96.4,100,-3.7
Kings (PA)2022,98.9,107.6,69.8,-0.5,0,98.9,98.9,-4.9
Westminster (MO)2022,93.8,102.6,77.5,3.8,4.2,101.9,97.8,4.2
Manhattanville2022,95,103.9,68.9,1.2,-0.8,98.3,99.2,-1.4
Berea2022,93.2,102.2,70.8,-5.3,-5,98.4,103.5,-5
Monmouth (IL)2022,96,105.1,74.4,-5.9,-5.6,94.8,100.4,-2.1
William Peace2022,96.7,105.8,73.9,-3.4,-2.7,94.9,97.5,-2.7
Cobleskill St.2022,90.6,99.9,77.9,-10.4,-9.7,92.3,102,-11.4
Bard2022,91.8,101.2,81.5,-8.3,-8.2,95.3,103.4,-12.3
Houghton2022,90.8,100.3,81.2,-8.8,-4.2,96.8,101,-3.9
Bryn Athyn2022,98.5,108,76.7,-17.1,-13.4,89.1,102.5,-13.4
MCLA2022,92.9,102.8,76.5,-3.9,-4.1,95.2,99.3,-4.1
Springfield2022,89.3,99.2,78.6,13.3,10.9,103.7,92.8,10.9
Buffalo St.2022,92.6,102.6,76,5.1,4.9,98.4,93.5,1.3
Concordia-Mhead2022,101.4,111.5,70.2,-6.3,-8.5,95.7,104.2,-16.9
La Verne2022,95,105,77.2,-9.4,-9.4,97.9,107.4,-19.1
Minn.-Morris2022,94.6,104.8,73.5,-7.7,-5.3,98.7,104,-5.3
Colorado Col.2022,89.3,99.5,76.4,2.8,0.9,101.1,100.2,0.9
Franciscan2022,93.4,103.7,81.5,-4.2,-1.3,101,102.2,0.1
