T1,T2,T1 PTS,T2 PTS,T1 FGA,T1 FGM,T2 FGA,T2 FGM,T1 PCT,T2 PCT,RESULT,DIFF
Wittenberg2021,Denison2021,75,72,65,29,61,28,0.4461538462,0.4590163934,1,3
Wittenberg2021,Kenyon2021,82,64,50,30,61,25,0.6,0.4098360656,1,18
Wittenberg2021,Kenyon2021,86,69,54,31,76,27,0.5740740741,0.3552631579,1,17
Wittenberg2021,DePauw2021,67,75,48,24,59,26,0.5,0.4406779661,0,-8
Wittenberg2021,Allegheny2021,75,71,64,29,76,27,0.453125,0.3552631579,1,4
Wittenberg2021,Ohio Wesleyan2021,71,67,55,23,66,25,0.4181818182,0.3787878788,1,4
Wittenberg2021,Wooster2021,57,83,50,18,67,33,0.36,0.4925373134,0,-26
Wittenberg2021,Denison2021,58,62,52,21,56,19,0.4038461538,0.3392857143,0,-4
Kenyon2022,Waynesburg2022,71,54,66,26,57,21,0.3939393939,0.3684210526,1,17
Kenyon2022,Earlham2022,74,59,47,20,58,20,0.4255319149,0.3448275862,1,15
Kenyon2022,Grove City2022,60,50,62,26,63,20,0.4193548387,0.3174603175,1,10
Kenyon2022,Wilmington (OH)2022,74,82,61,24,59,32,0.393442623,0.5423728814,0,-8
Kenyon2022,Grinnell2022,101,95,71,38,81,30,0.5352112676,0.3703703704,1,6
Kenyon2022,Muskingum2022,58,56,54,21,50,21,0.3888888889,0.42,1,2
Kenyon2022,Ohio Wesleyan2022,61,75,57,21,52,24,0.3684210526,0.4615384615,0,-14
Kenyon2022,Hiram2022,77,82,56,27,50,27,0.4821428571,0.54,0,-5
Kenyon2022,DePauw2022,67,69,56,26,53,26,0.4642857143,0.4905660377,0,-2
Kenyon2021,Wash. & Jeff.2021,93,103,65,29,61,32,0.4461538462,0.5245901639,0,-10
Kenyon2021,Muskingum2021,53,75,60,15,60,25,0.25,0.4166666667,0,-22
Kenyon2021,Geneva2021,89,95,77,34,64,31,0.4415584416,0.484375,0,-6
Kenyon2021,Westminster (PA)2021,76,77,68,24,71,33,0.3529411765,0.4647887324,0,-1
